date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:45	23208/23208	---M--	200	added ('OK')	font/ttf	etag:%2265b69a3a-5aa8%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.ttf	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.ttf	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:48	3022/3022	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2265b69a3a-bce%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.eot	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.eot	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:48	107776/107776	---M--	200	added ('OK')	image/svg+xml	etag:%2265b69a3a-1a500%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.svg	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.0.svg	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:48	3022/3022	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2265b69a3a-bce%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.eot?	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1d41d.eot	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:49	1052/1052	---M--	200	added ('OK')	font/woff2	etag:%2265b69a3a-41c%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.woff2	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.woff2	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:49	1568/1568	---M--	200	added ('OK')	font/woff	etag:%2265b69a3a-620%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.woff	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.woff	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:49	2724/2724	---M--	200	added ('OK')	font/ttf	etag:%2265b69a3a-aa4%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.ttf	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.ttf	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:50	2110/2110	---M--	200	added ('OK')	image/svg+xml	etag:%2265b69a3a-83e%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.svg	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.1.svg	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:50	2978/2978	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2265b69a3a-ba2%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.3.eot	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.3.eot	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
14:16:50	2978/2978	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2265b69a3a-ba2%22	https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.3.eot?	C:/Users/emanuel/Desktop/GABOTPRO%20CLON/CLON%20GABOPRO/gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/webfonts/pro-fa-duotone-900-5.6.3d41d.eot	(from https://gabot.pro/inc/themes/backend/Stackmin/Assets/fonts/fontawesome/css/all.min.css)
